raw_class,raw_type,canonical_type,canonical_class,status,confidence,notes
Grand Prix and MOCRA Racing,Dragonfly 28 Sport,,,pending,,
Multihull Bridgedeck  Catamaran Cruiser,RO-RO Cat 02,,,pending,,
Multihull Bridgedeck  Catamaran Cruiser,1190  sport,,,pending,,
Multihull Bridgedeck  Catamaran Cruiser,Fountain’e Pajot,,,pending,,
Gaffers,Ed Burnett & Nigel,,,pending,,
Gaffers,Pilot cutter,,,pending,,
Gaffers,Bristol Channel Pi,,,pending,,
Gaffers,Gaffer Plymouth Ho,,,pending,,
Gaffers,Cornish Crabber 24,,,pending,,
Sportsboat,OPEN 7.50 2.20,,,pending,,
Sportsboat,RS21 1.34,,,pending,,
Sportsboat,SB20,,,pending,,
J/70,J70,,,pending,,
Sunsail 41,Prometheus 41,,,pending,,
Sunsail 41,Prometheus  41,,,pending,,
Classic Racing Yacht,NICHOLSON 55 rev c,,,pending,,
Classic Racing Yacht,S & S 41,,,pending,,
Classic Racing Yacht,Swan38,,,pending,,
Classic Racing Yacht,Robert Clark Bermu,,,pending,,
Classic Racing Yacht,Vega 40,,,pending,,
Classic Racing Yacht,Camper & Nicholson,,,pending,,
Classic Racing Yacht,GURNEY 63 Custom,,,pending,,
Classic Racing Yacht,100 SQ METRE,,,pending,,
Classic Racing Yacht,Holman 47,,,pending,,
Classic Racing Yacht,22 Square Metre,,,pending,,
Classic Racing Yacht,Marieholm Internat,,,pending,,
Classic Racing Yacht,Twister 28,,,pending,,
Classic Racing Yacht,CAL 40 1.77,,,pending,,
Classic Racing Yacht,Sadler 29,,,pending,,
Classic Racing Yacht,Holman Shaker,,,pending,,
Classic Racing Yacht,Great Dane 28,,,pending,,
Modern Classic Racing Yachts,She 27,,,pending,,
Modern Classic Racing Yachts,Tofinou 8,,,pending,,
Modern Classic Racing Yachts,Tofinou 9.7,,,pending,,
Modern Classic Racing Yachts,rustler,,,pending,,
Nordic Folkboat,nordic folkboat,,,pending,,
Nordic Folkboat,Folkboat,,,pending,,
,X4,,,pending,,
